jealand,	জ্যালান্ড,	জিল্যান্ড,	
turki,	টার্কি,	তুর্কি,	
niuroolaji,	নিউরোলজি,	নিউরোলজি,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
baieq,	বাইক,	বাইক,	
utshahe,	উত্সাহে,	উৎসাহে,	
sbatantrota,	স্বত্ন্ত্রতা,	স্বতন্ত্রতা,	
konaa,	কোনা,	কোনা,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
sachetonvabe,	সচেতানভাবে,	সচেতনভাবে,	
planee,	প্লেন,	প্লেন,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
dubaate,	দুবাতে,	ডুবাতে,	
aairis,	আইরিশ,	আইরিস,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
dhanche,	ঢাঁচে,	ধাঁচে,	
toronee,	তরনী,	তরণী,	
madhobi,	মাধবী,	মাধবী,	
peerry,	পেরি,	পেরি,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
jonite,	যোনিতে,	যোনীতে,	
kathhmandute,	কাঠমান্দুতে,	কাঠমান্ডুতে,	
showte,	শোটে,	শোতে,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
naneer,	নানির,	নানীর,	
thakeni,	ঠাকেনি,	থাকেনি,	
sonali,	সোনালি,	সোনালী,	
dhyanastha,	ধ্বনস্থ,	ধ্যানস্থ,	
houstoner,	হাউস্টনের,	হিউস্টনের,	
cholochchitreer,	চলচিত্রের,	চলচ্চিত্রের,	
ciima,	সিইম,	সীমা,	
jalatanko,	জলতাঙ্ক,	জলাতঙ্ক,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
gronthatike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
sekarane,	সেকারণে,	সেকারণে,	
chhuteer,	ছুটির,	ছুটির,	
jamanor,	জামানোর,	জমানোর,	
patterne,	প্যাটারনে,	প্যাটার্নে,	
akar,	একার,	একার,	
lajek,	লাজেক,	লজিক,	
hobu,	হবু,	হবু,	
korimpoor,	করিমপুর,	করিমপুর,	
kaando,	কাণ্ড,	কাণ্ড,	
asiph,	আসিফ,	আসিফ,	
aazadir,	আজাদির,	আজাদীর,	
remacri,	রেমাক্রি,	রেমাক্রী,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
byabaharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
bites,	বিটেস,	বাইটস,	
vittiti,	ভিত্তিটি,	ভিত্তিটি,	
madrasa,	মাদ্রসা,	মাদ্রাসা,	
jalbe,	জলবে,	জ্বলবে,	
dhyaan,	ধ্যান,	ধ্যান,	
ancieent,	অ্যান্সেয়েন্ট,	এনসিয়েন্ট,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
setio,	সেটিও,	সেটিও,	
oporishodhito,	অপরিসোধিত,	অপরিশোধিত,	
hoeel,	হইল,	হইল,	
upostheet,	উপস্থিত,	উপস্থিত,	
charjito,	চার্জিত,	চার্জিত,	
bhogno,	ভগ্ন,	ভগ্ন,	
geja,	গেজ,	গেজ,	
mogert,	মগাার্ট,	মোজার্ট,	
bhittie,	ভিত্তি,	ভিত্তিই,	
pretii,	প্রতি,	প্রিটি,	
soundarjyo,	সৌন্দর্য,	সৌর্ন্দয্য,	
bhabnake,	ভবনকে,	ভাবনাকে,	
durg,	ডার্গ,	দুর্গ,	
nirarthak,	নিরর্থক,	নিরর্থক,	
juktorashtrosaha,	যুক্তরাস্তারহ,	যুক্তরাষ্ট্রসহ,	
masterer,	মাস্তারের,	মাস্টারের,	
bahati,	বাহাটি,	বাহাতি,	
hili,	হিলি,	হিলি,	
edaning,	এডনিং,	ইদানীং,	
saarbhare,	সারভারে,	সার্ভারে,	
parshwey,	পারস্বে,	পার্শ্বে,	
krechi,	ক্রেচি,	করেছি,	
lazika,	লাজিক,	লজিক,	
aakabaar,	আকাবার,	আকাবার,	
vobani,	ভবানি,	ভবানী,	
ruby,	রুবি,	রুবি,	
horus,	হারাস,	হোরাস,	
donut,	দানুট,	ডোনাট,	
krema,	ক্রেম,	ক্রাইম,	
sayanaida,	সাইনাইড,	সায়ানাইড,	
gazeetteed,	গাজিত্বাদ,	গেজেটেড,	
naniir,	নানীর,	নানীর,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
ibhaner,	ইভানের,	ইভানের,	
licensedharii,	লিকেন্সারে,	লাইসেন্সধারী,	
sur,	সুর,	সুর,	
hizrii,	হিজরী,	হিজরী,	
deraa,	দেরা,	ডেরা,	
korechi,	করেছি,	করেছি,	
manmath,	মনমাথ,	মন্মথ,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
kumari,	কুমারি,	কুমারী,	
kanaflikta,	কাফফ্লিক্ট,	কনফ্লিক্ট,	
azimkey,	আজিমকে,	আজিমকে,	
jatata,	যততা,	যতোটা,	
victar,	ভিক্টার,	ভিক্টর,	
asantosh,	অসান্তস,	অসন্তোষ,	
abheedhaaneek,	আভিধানিক,	অভিধানিক,	
hosheyin,	হোসেইন,	হোসেইন,	
wenish,	বইনিস,	ভেনিস,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
barnish,	ব্রানিস,	বার্নিশ,	
chotogolper,	চটোগল্পের,	ছোটগল্পের,	
netherlandey,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
machsaho,	মাসহাহ,	মাছসহ,	
tennish,	টেনিস,	টেনিস,	
rajotta,	রাজত্বা,	রাজত্ব,	
aameenaar,	আমিনার,	আমিনার,	
olpo,	অল্প,	অল্প,	
idaning,	ইডনিং,	ইদানিং,	
bosben,	বসবেন,	বসবেন,	
krej,	ক্রেজ,	ক্রেজ,	
kathmandute,	কথমমন্দুতে,	কাঠমান্ডুতে,	
janapath,	জনপথ,	জনপথ,	
score,	স্কোর,	স্কোর,	
jahor,	জহর,	জহর,	
lambate,	লম্বতে,	লম্বাটে,	
plusey,	প্লাসে,	প্লাসে,	
maudeling,	মোউডিলিং,	মডেলিং,	
jarool,	জারুল,	জারুল,	
motabolombira,	মতাবল্মীীরা,	মতাবলম্বীরা,	
shikha,	শিখ,	শিখ,	
aachees,	আচিস,	আছিস,	
basturyi,	বাস্ত্রুই,	বস্তুরই,	
robotic,	রোবটিক,	রোবোটিক,	
bikaargrasto,	বিকারগার্স্ত,	বিকারগ্রস্ত,	
jerusalem,	জেরুসালেম,	জেরুসালেম,	
jonopoth,	জনপথ,	জনপথ,	
dayna,	ডাইন,	ডায়না,	
logic,	লোগিক,	লজিক,	
chhutochhooti,	ছুটোছুটি,	ছুটোছুটি,	
beetloser,	বিটলসের,	বিটলসের,	
ghetoo,	ঘটু,	ঘেটু,	
ileeing,	এলিং,	ইলিং,	
nikela,	নিকেলা,	নিকেল,	
udbhabony,	উদভবনন,	উদ্ভাবনী,	
ganana,	গণনা,	গণনা,	
hoteltee,	হটেলটি,	হোটেলটি,	
ghesa,	ঘেস,	ঘেঁষা,	
satjon,	সতযন,	সাতজন,	
michir,	মিচির,	মিচির,	
maladoobha,	মালাদুভা,	মলদোভা,	
shkirt,	স্কীর্ট,	স্কার্ট,	
chhooteer,	ছুটির,	ছুটির,	
gujaber,	গুজবের,	গুজবের,	
taoonship,	তানশিপ,	টাউনশিপ,	
shepherd,	সেফার্ড,	শেফার্ড,	
venna,	ভেনা,	ভেন্না,	
siqar,	সিকার,	শিকার,	
ashammatite,	আসাসমাতিতে,	অসম্মতি,	
pleeta,	প্লটট,	প্লেট,	
graambaasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
laala,	লালা,	লালা,	
dael,	ডেল,	ডেইল,	
laiseensee,	লাযাসেন্স,	লাইসেন্স,	
atyacarito,	অত্যকারিত,	অত্যাচারিত,	
niketan,	নিকেতন,	নিকেতন,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
americar,	অ্যামেরিকার,	আমেরিকার,	
damodar,	দামোদর,	দামদর,	
ghoorsen,	ঘুরেছেন,	ঘুরেছেন,	
zerusalem,	জারুসালেম,	জেরুজালেম,	
janagananar,	জনগণনার,	জনগণনার,	
elaakaai,	এলাকাই,	এলাকাই,	
sorano,	সরানো,	সরানো,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
raagee,	রাগী,	রাগী,	
injeel,	ইঞ্জেল,	ইঞ্জিল,	
kings,	কিংস,	কিংস,	
purohitke,	পুরহীীককে,	পুরোহিতকে,	
pleena,	প্লেন,	প্লেন,	
zillul,	জিল্লুল,	জিল্লুল,	
seatey,	সিটে,	সিটে,	
bamni,	বামনী,	বামনী,	
futanta,	ফুটান্ট,	ফুটন্ত,	
parqa,	পার্ক,	পার্ক,	
kunntee,	কুন্তি,	কুন্তী,	
japaanira,	জাপানিরা,	জাপানিরা,	
bisheshyer,	বিশেষের,	বিশেষ্যের,	
iraaner,	ইরানের,	ইরানের,	
somoodrotote,	সমুদ্রততে,	সমুদ্রতটে,	
jamkaalo,	জামকাল,	জমকালো,	
parishromi,	পরিশ্রমী,	পরিশ্রমী,	
aairees,	আইরিশ,	আইরিস,	
chitronattakar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
bhejaano,	ভেজান,	ভেজানো,	
chamski,	চাম্ককি,	চমস্কি,	
dhila,	ঢিলা,	ঢিলা,	
sumi,	সুমি,	সুমি,	
monzhoshtho,	মন্যস্থ,	মঞ্চস্থ,	
boudha,	বৌদ্ধ,	বৌদ্ধ,	
welcome,	ভয়কলম,	ওয়েলকাম,	
growth,	গ্রথ,	গ্রোথ,	
hajarti,	হাজারটি,	হাজারটি,	
modeler,	মোদেলের,	মডেলের,	
tersa,	টার্স,	টেরেসা,	
swajan,	স্বজন,	স্বজন,	
surti,	সূর্তি,	সুরটি,	
kunty,	কুন্টি,	কুন্তী,	
seconder,	সেকেন্ডের,	সেকেন্ডের,	
doorotaumo,	দুরতম,	দূরতম,	
isahak,	ইসহাক,	ইসাহাক,	
gaarnaar,	গার্নার,	গার্নার,	
edaningkale,	এদনিঙ্কলে,	ইদানীংকালে,	
reejur,	রিজুর,	রিজুর,	
chaber,	ছবের,	চাবির,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
nesanasa,	নেশনস,	নেশনস,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
ashamorthito,	অসামর্থিত,	অসমর্থিত,	
upobaashee,	উপবাশী,	উপবাসী,	
elakaao,	এলাকাও,	এলাকাও,	
sthapanagulor,	স্থাপানাগুলোর,	স্থাপনাগুলোর,	
onkeeta,	অঙ্কিত,	অঙ্কিতা,	
nirdeshika,	নির্দেশীকা,	নির্দেশিকা,	
jonomukhee,	জনমুখী,	জনমুখী,	
dipgulo,	দিবগুলো,	দ্বীপগুলো,	
gadhaa,	গাঁধা,	গাধা,	
militaryte,	মিলিলারিতে,	মিলিটারিতে,	
nirbahe,	নির্বাহে,	নির্বাহে,	
shansthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
qiuti,	কিউটি,	কিউটি,	
shaartho,	সার্থ,	স্বার্থ,	
mokhmoley,	মোখমলে,	মখমলে,	
obdi,	অব্দি,	অব্দি,	
sobrakomer,	সব্রকমের,	সবরকমের,	
panctaar,	পাঁচট্রার,	পাঁচটার,	
veenus,	ভেনাস,	ভেনাস,	
byaboharkareederke,	ব্যবহারকারীদে,	ব্যবহারকারীদেরকে,	
longhan,	লঙ্ঘন,	লংঘন,	
carzer,	কার্জের,	চার্জের,	
bamon,	বামন,	বামন,	
onektai,	অনেকটাই,	অনেকটাই,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
pest,	পেস্ট,	পেষ্ট,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
ekghorey,	একঘরে,	একঘরে,	
torabganj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
unhu,	উনহু,	উঁহু,	
granthatike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
dadader,	দাদাদের,	দাদাদের,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
neeshanasa,	নিশনস,	নেশনস,	
akai,	একাই,	একাই,	
gudamjaato,	গুদম্জাত,	গুদামজাত,	
jeteo,	জেতেও,	যেতেও,	
bishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
elakaatir,	এলাকাটির,	এলাকাটির,	
pachbar,	পাঁচবার,	পাঁচবার,	
purohitra,	পুরহিতত্র,	পুরোহিতরা,	
charrjar,	চার্যার,	চার্জার,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
homasha,	হোমস,	হোমস,	
santa,	সান্ত,	সান্তা,	
sainyasaha,	সৈন্যসস,	সৈন্যসহ,	
projanankaal,	প্রজননক্লক,	প্রজননকাল,	
jillool,	জিল্লুল,	জিল্লুল,	
herpher,	হারফের,	হেরফের,	
jibonnogor,	জীবন্গগর,	জীবননগর,	
brindaboney,	বৃন্দবনে,	বৃন্দাবনে,	
deelibhara,	দিলিভার,	ডেলিভার,	
pravritite,	প্রভীতিতে,	প্রভৃতিতে,	
titlee,	টিটলি,	টাইটেল,	
bidrohiderke,	বিদ্রহীদেরকে,	বিদ্রোহীদেরকে,	
sukkha,	সূক্ষ্ম,	সুক্ষ্ম,	
kalniir,	কালীর,	কালনীর,	
maail,	মেইল,	মাইল,	
progress,	প্রগ্রেস,	প্রগ্রেস,	
doneta,	ডোনেট,	ডোনাট,	
songbadmadhyome,	সংবাদধামে,	সংবাদমাধ্যমে,	
priitii,	প্রীতি,	প্রিটি,	
vaibonder,	ভাইবন্দের,	ভাইবোনদের,	
wrighter,	রাইটার,	রাইটের,	
prodiip,	প্রদীপ,	প্রদীপ,	
turishta,	টিরিষ্ট,	টুরিস্ট,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
songkulan,	সংকুলন,	সংকুলান,	
hosne,	হোসনে,	হোসনে,	
karo,	কারও,	করো,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
brookoleen,	ব্রোকলিন,	ব্রুকলিন,	
thaakeni,	থাকেনি,	থাকেনি,	
arjara,	অর্জার,	আর্যরা,	
bypass,	বিপসস,	বাইপাস,	
sooresh,	সুরেশ,	সুরেশ,	
iukyaliptasha,	ইউক্যালক্পেস,	ইউক্যালিপ্টাস,	
nagarikkey,	নাগরিককে,	নাগরিককে,	
dephineshhana,	ডিফিনেশন,	ডেফিনেশন,	
turisht,	টিরিস্ট,	টুরিস্ট,	
danakana,	দানকানা,	ডানকান,	
surkarder,	সুরকারদের,	সুরকারদের,	
haris,	হ্যারিস,	হ্যারিস,	
ganonanatto,	গণনানত্য,	গণনাট্য,	
iispredshiit,	এস্স্রোপ্টেস,	স্প্রেডশীট,	
ajeeja,	আজিজা,	আজিজা,	
natsi,	নাৎসি,	নাত্সি,	
zins,	জিনস,	জিন্স,	
chainge,	চেঙ্গ,	চেঞ্জ,	
nodimaatrik,	নদীমাত্রিক,	নদীমাতৃক,	
munshi,	মুনশী,	মুন্সি,	
chittronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
builder,	বিল্ডের,	বিল্ডার,	
rahi,	রহি,	রাহী,	
potocheetro,	পতচিত্র,	পটচিত্র,	
state,	স্টেট,	স্টেইট,	
savanetri,	সভানেত্রী,	সভানেত্রী,	
elahabade,	এলহাবাদে,	এলাহাবাদে,	
kormosompadon,	কর্মসম্পন,	কর্মসম্পাদন,	
moshzidtir,	মসশিদদির,	মসজিদটির,	
baasa,	বাসা,	বাসা,	
charjara,	চার্জার,	চার্জার,	
maradeha,	মারাদেহা,	মরদেহ,	
yuroo,	ইউরো,	ইউরো,	
korim,	করিম,	করিম,	
hazirhaat,	হাজিরহাট,	হাজিরহাট,	
atwobishvashi,	অত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
mailkhanek,	মেলখানেক,	মাইলখানেক,	
moshion,	মশিন,	মোশন,	
vool,	ভোল,	উল,	
khargosher,	খার্গসের,	খরগোসের,	
bodka,	বদকা,	ভদকা,	
bondii,	বন্দী,	বন্দী,	
gonona,	গণনা,	গণনা,	
maradeho,	মারাদেহ,	মরদেহ,	
slok,	স্লোক,	শ্লোক,	
grambaaseeo,	গ্রামবাশিও,	গ্রামবাসীও,	
sohojlovyotar,	সহজ্যলাভ্যার,	সহজলভ্যতার,	
grambasi,	গ্রামবাসী,	গ্রামবাসী,	
susamo,	সুসম,	সুসম,	
eevil,	এভিল,	ইভিল,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
jaqi,	জাকি,	জকি,	
shomoshto,	সমস্ত,	সমস্ত,	
vagni,	ভাগ্নী,	ভগ্নী,	
uruu,	ঊরু,	উরু,	
pujit,	পুজিত,	পুজিত,	
mozart,	মজার্ট,	মোজার্ট,	
bodqa,	বদকা,	ভদকা,	
byabaharkariderke,	ব্যবহারকারীদে,	ব্যবহারকারীদেরকে,	
phaksa,	ফক্স,	ফক্স,	
ghaghot,	ঘাঘঘ,	ঘাঘট,	
vaisaho,	ভৈইসহ,	ভাইসহ,	
venus,	ভেনাস,	ভেনাস,	
paltechey,	পলটেটে,	পাল্টেছে,	
forma,	ফোর্ম,	ফর্মা,	
joni,	যোনি,	জনি,	
cal,	কোল,	চাল,	
rubio,	রুবিও,	রুবিও,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
shepha,	সেফ,	শেফ,	
chhatogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
moonim,	মুনিং,	মুনিম,	
teamothi,	তিমোথি,	টিমোথি,	
ches,	চেস,	চেস,	
jeebanjapon,	জীবন্যপান,	জীবনযাপন,	
soori,	সুরি,	সুরি,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
jeshh,	জেস,	জেস,	
shlok,	শ্লোক,	শ্লোক,	
metroopalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
shartho,	শর্থ,	স্বার্থ,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
vaibon,	ভাইবন,	ভাইবোন,	
qanaphliqta,	কনফ্লাক্ট,	কনফ্লিক্ট,	
sampadon,	সম্পাদন,	সম্পাদন,	
niro,	নিরো,	নির,	
plus,	প্লাস,	প্লাস,	
gate,	গেটে,	গ্যেটে,	
sumee,	সুমি,	সুমি,	
agomone,	অগমনে,	আগমনে,	
gazee,	গেজ,	গেজ,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
rohosyor,	রহস্যর,	রহস্যর,	
ansarir,	আনসারির,	আনসারীর,	
rahh,	রহ,	রঃ,	
jonogononar,	জনগণনার,	জনগণনার,	
koushalgato,	কৌশলগত,	কৌশলগত,	
sorboshoktiman,	সর্বকস্মাকিন,	সর্বশক্তিমান,	
venicer,	ভেনিসের,	ভেনিসের,	
ajibon,	আজিবন,	আজীবন,	
taholei,	তাহলেই,	তাহলেই,	
superhera,	সুপারহারা,	সুপারহিরো,	
folokti,	ফলকটি,	ফলকটি,	
swalpa,	স্বল্প,	স্বল্প,	
farid,	ফরিদ,	ফরিদ,	
bagdadi,	বাগদাদি,	বাগদাদী,	
moushumei,	মৌশুমেই,	মৌসুমেই,	
hoteelti,	হটিলটি,	হোটেলটি,	
prakalpogulo,	প্রকা্্গগুলো,	প্রকল্পগুলো,	
difinishian,	ডিফিনিশ়,	ডেফিনেশন,	
nyaper,	ম্যাপের,	ন্যাপের,	
bishwaashshoi,	বিশ্বাস্ই,	বিশ্বাসই,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
sikhbe,	শিখবে,	শিখবে,	
itastatoh,	ইতাস্তাহ,	ইতস্ততঃ,	
dembakreeti,	দেম্বাক্রি,	ডিম্বাকৃতি,	
dikpal,	ডিক্পল,	দিকপাল,	
amarika,	অ্যামারিকা,	আমেরিকা,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
kamola,	কমলা,	কামলা,	
sahokari,	সহকারি,	সহকারী,	
dupleex,	ডাপ্লিক্স,	ডুপ্লে,	
twoei,	তুইই,	ত্বকেই,	
awrbit,	অর্বিত,	অরবিট,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
grauth,	গ্রুথ,	গ্রোথ,	
udar,	উদার,	উদর,	
jaruri,	জরুরি,	জরূরী,	
naren,	নরেন,	নরেন,	
fuzz,	ফুজ,	ফাজ,	
udbhabane,	উদ্ভানে,	উদ্ভাবনে,	
ameriqa,	অ্যামেরিকা,	আমেরিকা,	
shrabosti,	শ্রববস্তি,	শ্রাবস্তী,	
domonmoolok,	দমমন্নুলক,	দমনমূলক,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
visnu,	বিষ্ণু,	বিষ্ণু,	
modhumotii,	মধুমতী,	মধুমতী,	
embeda,	এমবেডা,	এম্বেড,	
sylvi,	সিলভি,	সিলভি,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
songasthaner,	সংস্থানের,	সংস্থানের,	
ovidhaner,	অভিধানের,	অভিধানের,	
ekoghoore,	একঘুরে,	একঘরে,	
byaboharkarikey,	ব্যবহারকারী,	ব্যবহারকারীকে,	
tiuning,	টিউনিং,	টিউনিং,	
abhijojan,	অভিযোজন,	অভিযোজন,	
juddhahato,	যুদ্ধত,	যুদ্ধাহত,	
gananatyo,	গণাাত্য,	গণনাট্য,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
machera,	মেচের,	মাছেরা,	
laeshesh,	লাইসেস,	লাইসেন্স,	
jolatongko,	জলাতঙ্ক,	জলাতঙ্ক,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
hamburgey,	হাম্বার্গে,	হামবুর্গে,	
korusher,	ক্রুসের,	ক্রুশের,	
lombate,	লম্বাতে,	লম্বাটে,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
obhishangsan,	অভিশংসাসন,	অভিশংসন,	
larshon,	লার্সন,	লারসন,	
easter,	ইস্টের,	ইস্টার,	
bocchon,	বচচন,	বচ্চন,	
oitijje,	ঐতিজজে,	ঐতিহ্যে,	
recondishon,	রেকন্দিশন,	রিকন্ডিশন,	
sikkhokder,	শিক্ষককদের,	শিক্ষকদের,	
kaareer,	কারির,	কারীর,	
zeebonnogor,	জীবনগনর,	জীবননগর,	
temontee,	তেমনটি,	তেমনটি,	
ssteit,	স্টিট,	স্টেইট,	
kyanela,	ক্যানেল,	ক্যানেল,	
chanoo,	চানু,	চানু,	
adarsho,	আদর্শ,	আর্দশ,	
ogrodut,	অগ্রদুত,	অগ্রদূত,	
megher,	মেঘের,	মেঘের,	
mette,	মেটে,	ম্যাট,	
inafarameshana,	ইনফোরমেশন,	ইনফরমেশন,	
peeth,	পেথ,	পীঠ,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
trans,	ট্রান্স,	ট্রান্স,	
basake,	বসাকে,	বাসাকে,	
mmehonoti,	মেহনাটি,	মেহনতি,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
emarjensi,	এমার্জেন্সি,	এমার্জেন্সি,	
randeep,	রণ্ডীপ,	রণদীপ,	
harbar,	হরবার,	হারবার,	
erina,	এরিন,	এরিনা,	
sothikota,	সথিকতা,	সঠিকতা,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
munim,	মুনিং,	মুনিম,	
kota,	কোট,	কোটা,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
noteti,	নোটেটি,	নোটটি,	
tuni,	টুনি,	টুনি,	
anchaltitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
heris,	হেরিশ,	হ্যারিস,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
yanqee,	য্যাংকি,	ইয়াংকি,	
shukranu,	শুক্রাণু,	শুক্রানু,	
engrejer,	ইংরেজির,	ইংরেজের,	
meghe,	মেঘে,	মেঘে,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
kakhonyoba,	কখনযযাব,	কখনওবা,	
iyanqi,	এয়ান্কি,	ইয়াংকি,	
chirakumari,	চিরকমুরি,	চিরকুমারী,	
hariken,	হারিকেন,	হ্যারিকেন,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
tinage,	টিনেগ,	টিনেজ,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
rajtontre,	রাজনন্ত্রে,	রাজতন্ত্রে,	
ahong,	আহং,	অহং,	
samanwitovabe,	সমান্ভীতভাবে,	সমন্বিতভাবে,	
chaabir,	চবির,	চাবির,	
chhatoke,	ছটকে,	ছাতকে,	
moomtajer,	মুমতাজের,	মুমতাজের,	
indr,	ইন্ড্র,	ইন্দ্র,	
motion,	মটিন,	মোশন,	
shringgo,	শৃঙগগ,	শৃঙ্গ,	
obosan,	অবসন,	অবসান,	
ashanka,	আসংকা,	আশঙ্কা,	
iukyaliptasa,	ইউক্যালক্পেস,	ইউক্যালিপ্টাস,	
zerusalem,	জারুসালেম,	জেরুসালেম,	
motabolombiira,	মতাবল্মবীরা,	মতাবলম্বীরা,	
gronthati,	গ্রন্থটি,	গ্রন্থটি,	
progreess,	প্রগ্রেস,	প্রগ্রেস,	
sikkhartheerao,	শিক্ষার্থীরার,	শিক্ষার্থীরাও,	
beshirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
de,	ডে,	ডে,	
tochnoch,	টোচনোচ,	তছনছ,	
maudelder,	মোউললেডের,	মডেলদের,	
hugh,	হুঘ,	হিউজ,	
oopohoron,	উপহরণ,	অপহরন,	
sthaponatir,	স্থাপনাতির,	স্থাপনাটির,	
ispreedshiit,	এস্প্রেদশিট,	স্প্রেডশীট,	
chedon,	ছেদন,	ছেদন,	
kredita,	ক্রেডিট,	ক্রেডিট,	
sacheton,	সচেতান,	সচেতন,	
lohaar,	লোহার,	লোহার,	
saabyastha,	সাব্যস্থ,	সাব্যস্থ,	
sainyo,	সৈন্য,	সৈন্য,	
bonoshree,	বনশ্রী,	বনশ্রী,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
modelke,	মোদেলকে,	মডেলকে,	
zesh,	জেস,	জেস,	
maddhuri,	মধধুরি,	মাধুরী,	
paltechhey,	পলটেছে,	পাল্টেছে,	
ghese,	ঘেসে,	ঘেঁষে,	
sharoker,	শররকের,	স্মারকের,	
korimpur,	করিমপুর,	করিমপুর,	
zerusalemer,	জেরুসমেল,	জেরুজালেমের,	
manzurul,	মন্জুরুল,	মনজুরুল,	
shatoke,	শতকে,	শতকে,	
shektore,	সেক্টরে,	সেক্টরে,	
janaar,	জানার,	জানার,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
timoothi,	তিমুথি,	টিমোথি,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
qode,	কোড,	কোড,	
jarusalem,	জারুসালেম,	জেরুসালেম,	
rajtantrey,	রাজনাত্ত্রে,	রাজতন্ত্রে,	
gore,	গোরে,	গোর,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
oddure,	অদ্দুরে,	অদুরে,	
shchalastik,	স্কালাস্তিক,	স্কলাস্টিক,	
janoika,	জানকা,	জনৈকা,	
qarima,	করিমা,	করিম,	
falashrutiti,	ফলাস্রুটি,	ফলশ্রুতি,	
